TitleName,TvRating,Genre,TitleId,YearMade,Score 
criminal minds,2016,Comedy,TV-14,410,98
white collar,2014,Comedy,TV-PG,411,93
luther,2015,Comedy,TV-14,412,69
hawaii five-0,2016,Comedy,TV-14,413,96
house of cards,2016,Comedy,TV-MA,414,91
last man standing,2015,Comedy,TV-PG,415,97
revenge,2015,Comedy,TV-PG,416,84
person of interest,2016,Comedy,TV-14,417,93
scandal,2016,Comedy,TV-14,418,92
touch,2012,Comedy,TV-14,419,68
sherlock,2016,Comedy,TV-14,420,95
breakout kings,2012,Comedy,TV-14,421,88
the client list,2013,Comedy,TV-14,422,92
arrow,2015,Comedy,TV-14,423,96
the following,2015,Comedy,TV-14,424,0
"drugs, inc.",2015,Comedy,TV-14,425,0
longmire,2016,Comedy,TV-14,426,92
ripper street,2016,Comedy,TV-MA,427,0
the fall,2016,Comedy,TV-MA,428,61
death in paradise,2016,Comedy,TV-14,429,77
marvel's agents of s.h.i.e.l.d.,2016,Comedy,TV-PG,430,89
crossing lines,2015,Comedy,TV-14,431,66
london has fallen,2016,Comedy,R,432,96
halt and catch fire,2016,Comedy,TV-14,433,0
marvel's iron fist,2017,Comedy,TV-MA,434,98
the honorable woman,2014,Comedy,TV-MA,435,0
transporter: the series,2014,Comedy,TV-MA,436,0
gotham,2016,Comedy,TV-14,437,85
better call saul,2016,Comedy,TV-MA,438,95
how to get away with murder,2016,Comedy,TV-14,439,95
narcos,2016,Comedy,TV-MA,440,94
american odyssey,2015,Comedy,TV-14,441,0
aquarius,2015,Comedy,TV-MA,442,0
hap and leonard,2016,Comedy,TV-MA,443,57
rosewood,2015,Comedy,TV-14,444,81
quantico,2016,Comedy,TV-14,445,88
limitless,2016,Comedy,TV-14,446,84
travelers,2016,Comedy,TV-MA,447,86
the doctor blake mysteries,2016,Comedy,TV-MA,448,57
i.t,2016,Comedy,NR,449,0
bordertown,2016,Comedy,TV-MA,450,0
the office (u.s.),2012,Comedy,TV-14,451,97
grey's anatomy,2016,Comedy,TV-14,452,98
law & order: special victims unit,2015,Comedy,TV-14,453,97
lie to me,2010,Comedy,TV-14,454,89
prison break,2008,Comedy,TV-14,455,98
90210,2013,Comedy,TV-14,456,62
gossip girl,2012,Comedy,TV-14,457,96
how i met your mother,2014,Comedy,TV-PG,458,94
parks and recreation,2015,Comedy,TV-14,459,94
the vampire diaries,2017,Comedy,TV-14,460,91
criminal minds,2016,Comedy,TV-14,461,98
friends,2003,Comedy,TV-14,462,98
the west wing,2005,Comedy,TV-14,463,79
parenthood,2014,Comedy,TV-14,464,79
white collar,2014,Comedy,TV-PG,465,93
blue bloods,2016,Comedy,TV-14,466,95
house of cards,2016,Comedy,TV-MA,467,91
pretty little liars,2016,Comedy,TV-14,468,96
the killing,2014,Comedy,TV-14,469,73
shameless (u.s.),2016,Comedy,TV-MA,470,97
new girl,2016,Comedy,TV-14,471,91
revenge,2015,Comedy,TV-PG,472,84
person of interest,2016,Comedy,TV-14,473,93
once upon a time,2016,Comedy,TV-PG,474,98
scandal,2016,Comedy,TV-14,475,92
forensic files,2011,Comedy,TV-14,476,88
sherlock,2016,Comedy,TV-14,477,95
the client list,2013,Comedy,TV-14,478,92
orange is the new black,2016,Comedy,TV-MA,479,98
rectify,2016,Comedy,TV-14,480,0
black mirror,2016,Comedy,TV-MA,481,80
bates motel,2016,Comedy,TV-14,482,83
